"gene","logFC_cellbender","FDR_cellbender","logFC_cellranger","FDR_cellranger","concordant_DE"
"SSR2",-0.242428114153288,0.0657985131014457,-0.24583432567507,0.0179418024812674,FALSE
"PSEN1",-0.116613427208292,0.0658345641899283,-0.131144740670746,0.0658197333790745,FALSE
"JDP2",-0.187253146023077,0.0658612541503744,-0.240984129027016,0.0698838320536397,FALSE
"TXNDC11",-0.135312793325833,0.0659604823829335,-0.121490792536346,0.148340643222126,FALSE
"MAP7",0.426720381557882,0.0659949247171712,0.265839125142097,0.200812761861636,FALSE
"APIP",-0.300611403217404,0.0661498936900022,-0.257906088276985,0.116255514454479,FALSE
"HMGCS1",0.28518912192076,0.06617786465857,0.064794991544305,0.717387075775508,FALSE
"MED21",-0.177839342895365,0.0662914616898228,-0.132468333720514,0.205682393647176,FALSE
"OVOL2",-0.261101289136154,0.0663158948004001,-0.281716514728069,0.0879534389928143,FALSE
"HS2ST1",0.141512548466679,0.0663481172414288,0.105785417800727,0.254631580231421,FALSE
"MAN1A2",-0.104719870199613,0.0663481172414288,-0.119396436539828,0.0578923809065365,FALSE
"ZBTB10",0.217701835317707,0.0664413192470049,0.0861594759026843,0.387414219231033,FALSE
"STIP1",-0.249785179801431,0.0665481726903132,-0.288453804068588,0.0553489612418559,FALSE
"CSPG4",-0.378703657652525,0.0665562291848431,-0.327910319973447,0.0464193456943356,FALSE
"CCDC144NL-AS1",0.200495716049916,0.0667037179497673,0.217534829031744,0.119985275937245,FALSE
"SIRT1",-0.156398602400208,0.0668621995266304,-0.106121522165103,0.274303128447011,FALSE
"AK2",-0.213992996691246,0.0672901793581731,-0.145144901300888,0.244543683794694,FALSE
"ANO3",-0.466669893777053,0.0672938362907042,-0.721099562118732,0.0281685834212869,FALSE
"LINC00662",0.128713358980955,0.0674579545408618,0.19095689904824,0.0244859852191561,FALSE
"OPA3",-0.319172418731938,0.067470261586019,-0.330323909120065,0.0406460346946987,FALSE
"TYW3",-0.173881519537678,0.0675696715371128,-0.173053210732104,0.06054380553526,FALSE
"DCTD",-0.235627447645317,0.0675895344336978,-0.159682455461785,0.263691875475567,FALSE
"GUF1",-0.171813647541551,0.0676805623975279,-0.147159465382651,0.153353918676706,FALSE
"BLOC1S5",0.168813727906972,0.0676805623975279,0.0950547780588359,0.374742430755616,FALSE
"CELF4",-0.394944274129679,0.0676945990031773,-0.306638529074389,0.185827241458713,FALSE
"WDFY3-AS1",-0.228848220969059,0.067773295372988,-0.222982245473745,0.100649258881881,FALSE
"DGUOK",-0.157728300343901,0.0678817339964341,-0.11811827432454,0.219730524878932,FALSE
"ZNF263",-0.218632198552194,0.0679188008676669,-0.19048989413576,0.16728727073638,FALSE
"ZNF622",-0.73402171519966,0.0679736904821795,-0.235864850153965,0.193744501559123,FALSE
"ARL14EP",0.281537352766398,0.0679783040059906,0.0951836187915227,0.325664639411752,FALSE
"PIK3CA",-0.155009050814272,0.0680201137537672,-0.219949241693012,0.0481154883569136,FALSE
"MROH9",0.48469808784337,0.0680550142106173,0.497651900309081,0.117176598622592,FALSE
"DTX3L",0.471938545546655,0.068102586297044,0.273194516021336,0.0981334822498511,FALSE
"AMY2B",-0.260375035420086,0.068147690057833,-0.250193186960537,0.107054883414147,FALSE
"LINC00624",-0.30081451271144,0.068147690057833,-0.280079994590277,0.122924347566522,FALSE
"RAE1",-0.199436339511479,0.0681963267278205,-0.142653950662786,0.254992760718708,FALSE
"FEZ1",-0.152659209216536,0.0682040506281994,-0.0931298316192341,0.314196512839808,FALSE
"AKAP8L",-0.1229914861135,0.0682040506281994,-0.0848956626666656,0.2422341503793,FALSE
"CERCAM",0.268998647412053,0.0683096091090854,0.270427551983852,0.118703533565787,FALSE
"PARM1",-0.706035890849582,0.068327337583207,-0.655892419647135,0.000455083871316695,FALSE
"MEGF11",-0.317262435376001,0.0683340226569086,-0.350345241116555,0.0806161464507001,FALSE
"PARP2",0.282214985494236,0.0683387929084522,0.219924769223723,0.149238194566019,FALSE
"GSTCD",0.189404900002864,0.0685599415816927,0.206874070983833,0.0869806389991359,FALSE
