"gene","logFC_cellbender","FDR_cellbender","logFC_cellranger","FDR_cellranger","concordant_DE"
"PRKACA",-0.182686683231845,0.120231101077151,-0.231348863733215,0.0922037292160504,FALSE
"ZNF567",-0.281968743843169,0.120299739068728,-0.193174548441314,0.353195241843005,FALSE
"NUDT5",-0.219461026628921,0.120353905600877,-0.158510442900807,0.34992130879904,FALSE
"ODR4",-0.205214815562786,0.120538307664435,-0.138386297698097,0.379729121019686,FALSE
"IL4R",0.421069022849865,0.120538307664435,0.157600290337366,0.656507518102362,FALSE
"TIAL1",-0.170928889206554,0.120752437442137,-0.20680702962637,0.0450790191232021,FALSE
"MAP3K3",0.153289102656994,0.120806775736079,0.188759613950516,0.0841406652433096,FALSE
"AL356599.1",0.13986399955055,0.120836102051768,0.203420539978576,0.0468614397192045,FALSE
"CABLES1",0.450082147752955,0.120836102051768,0.336656931161824,0.310251480607969,FALSE
"EXT2",0.179195230025041,0.121010067281088,0.256473691796249,0.064573709915194,FALSE
"AC105339.3",0.508391328284083,0.121100506330317,0.63023702118076,0.0734433793014182,FALSE
"AC046134.2",0.177023727644257,0.121246639088881,0.295929553172248,0.030739849249601,FALSE
"DHX36",-0.155242793148286,0.121265845800031,-0.160617665303532,0.170754763047987,FALSE
"ACSL3",-0.15474546436568,0.121400425873744,-0.135611944602187,0.274105704507418,FALSE
"SON",-0.104025736621773,0.121424751211124,-0.0687174397952989,0.391413318019742,FALSE
"PPP1R10",-0.254696498267002,0.121547068117238,-0.175838849536757,0.29601225057871,FALSE
"LINC00963",0.287105440358916,0.121604175029461,0.407972492102743,0.0317174949060994,FALSE
"RABEP1",-0.118710494747869,0.12177983819822,-0.1261908594594,0.195858419753743,FALSE
"KIRREL1",0.131481618003921,0.121817282406123,0.236639103318528,0.0321359849992322,FALSE
"GPHN",-0.073699692302733,0.121994457594589,0.00503289160762309,0.968046684992775,FALSE
"ZNF483",0.320281458772976,0.122802983667752,0.41650995865335,0.0801239909288392,FALSE
"UHRF1BP1",-0.155972394942271,0.12289728764642,-0.221830447438533,0.04091389935621,FALSE
"NCBP1",-0.211409102883382,0.123006960005987,-0.177307005939796,0.261184038986817,FALSE
"RBM28",-0.180654851307341,0.12312179438894,-0.229047430484294,0.102950534827096,FALSE
"DENND10",0.44241228480443,0.12312179438894,0.243011565844945,0.438166210551571,FALSE
"ZNF263",-0.228042490414113,0.12312179438894,-0.208154486252396,0.254815604126882,FALSE
"THUMPD3-AS1",-0.133208046138485,0.123695891747115,-0.0639889231560887,0.658188917991674,FALSE
"DHX38",-0.289826544722923,0.123695891747115,-0.27202607488508,0.214444762026655,FALSE
"BBIP1",0.21051162401324,0.123792463517991,0.208348714334469,0.202687727184167,FALSE
"UBE2I",-0.15363216884893,0.12384669957255,-0.0581500507928769,0.674637287073747,FALSE
"DENND6A-AS1",-0.170494359300987,0.123870864752694,-0.113971566927174,0.424495631430349,FALSE
"CAPNS1",-0.372903267790116,0.123995783179034,-0.226448926378588,0.125101830632702,FALSE
"POM121C",-0.155440291022665,0.124048947324802,-0.161800099833193,0.175138929356839,FALSE
"REC114",-0.400941715359856,0.124048947324802,-0.284921753946891,0.305676867801887,FALSE
"RHD",0.564733835198509,0.12428275169799,0.570841258763174,0.225396133158154,FALSE
"ALG13",-0.13232876808104,0.12428275169799,-0.149946168766561,0.160097134562681,FALSE
"MOK",0.480215783164175,0.124405198919202,0.151609097927066,0.615485359202831,FALSE
"DCAF10",-0.110917165351209,0.12455740965752,-0.136333997157084,0.183681233733429,FALSE
"NSFL1C",0.398760024492014,0.12455740965752,0.101147126699869,0.645979082677786,FALSE
"FIG4",0.191507591190853,0.124588480033898,0.160873584554257,0.236916214584483,FALSE
"AKAP9",0.107594741637935,0.125472197126072,0.0395149477458317,0.659809050572883,FALSE
"HCP5",0.380576956797071,0.125663536878154,0.108697390541082,0.718226855143545,FALSE
"NES",-0.207738414603817,0.125917555901669,-0.244647506168931,0.124525546742556,FALSE
"HLA-C",-0.35286224983697,0.125982681174293,-0.0368012691368328,0.832494078115392,FALSE
"NFXL1",0.474127653106943,0.125991643905224,0.0611383360790871,0.795382456977371,FALSE
"ATP13A2",-0.330363144480765,0.126085451465727,-0.247307494003198,0.368843665137293,FALSE
"NCAPD2",-0.285037775284724,0.126567935671097,-0.174380281545479,0.459233060170838,FALSE
"PCNP",0.213917905769722,0.12663120321894,0.0102309994907158,0.949022288491948,FALSE
"AGAP4",0.232011027794412,0.12663120321894,0.22855773428705,0.15179689630648,FALSE
"IQCG",-0.204399546998268,0.126638062705261,-0.183129743610549,0.205117214548206,FALSE
"AP002954.1",-0.31676350307603,0.126646016667722,-0.167869323583115,0.535842579107483,FALSE
"ZNF12",-0.29995456652433,0.127060174487296,-0.300030545217617,0.126061368183786,FALSE
"CTNNBL1",0.185203903255602,0.127302982373712,0.0644008416990517,0.67526607487901,FALSE
"GNA12",0.162594464748615,0.127643987470766,0.187985382444266,0.172811104738352,FALSE
"AC080162.1",-0.281278613146733,0.127933048872658,-0.281994494050651,0.185294675457159,FALSE
"TMEM263",-0.275005434811381,0.127933048872658,-0.168538306323481,0.376764440216125,FALSE
"DGUOK",-0.177502088471986,0.128041647285209,-0.134110675566989,0.361640698280592,FALSE
"PJA2",0.205814017654624,0.128041647285209,0.105667738946642,0.452036203840616,FALSE
"LINC02202",0.25331719249548,0.128041647285209,0.325684806085578,0.0738046652597572,FALSE
"GLUD1",-0.133363737164752,0.128041647285209,-0.082508040937858,0.483730546061428,FALSE
"KCNS3",0.465622797892533,0.128161697012689,0.0908130689331458,0.765119731497684,FALSE
"KARS",-0.3239431784514,0.128319423365047,-0.244457228199173,0.300054899019759,FALSE
"INO80E",0.292015027834347,0.128321323505004,0.333832264310115,0.108902210638585,FALSE
"OGT",0.183330095335291,0.12842265371305,0.0530243206856547,0.643377113794033,FALSE
"ERO1B",0.249588133156683,0.128500319487583,0.203544681611296,0.262440136753845,FALSE
"PIP4K2C",0.355360671546818,0.129569898497891,0.420875017537812,0.120124621415899,FALSE
"GFM1",-0.219753583448217,0.129771770597322,-0.137362985653634,0.413312275008912,FALSE
"IP6K1",-0.155896718579995,0.129848665817122,-0.128143531912116,0.32210201731308,FALSE
"LRCH4",-0.332960356742735,0.129848665817122,-0.335655203325209,0.162866173747994,FALSE
"MEAK7",0.302970369263622,0.129848665817122,0.425541311214855,0.0376150169745677,FALSE
"NOL11",-0.3019313593123,0.129848665817122,-0.255421873097571,0.283025845135522,FALSE
"MCEE",0.375393973242332,0.129981473284515,0.24855871730771,0.16039052489259,FALSE
"CCDC138",0.26774139740134,0.129981473284515,0.381568928516289,0.0656611756102927,FALSE
"BAX",-0.28270398729956,0.129981473284515,-0.136910254683878,0.547504147738014,FALSE
"TEX2",0.295989344829111,0.130089014831204,0.0836716148926815,0.596879318493978,FALSE
"ZBTB48",-0.277643856155774,0.130142258878395,-0.180164402073257,0.426999239451882,FALSE
"ZBTB20-AS5",-0.146337657235367,0.13014777671007,-0.144151143332156,0.21281948057081,FALSE
"AC021752.1",0.321977857962381,0.130273979883896,0.591821050296105,0.00369115670771488,FALSE
"KIAA0825",0.274502125943545,0.130294457995104,0.140494983113552,0.270392821598984,FALSE
"SOX5",-0.0746343625812769,0.130651155447387,-0.13877285967877,0.181088075557796,FALSE
"TRAM2",-0.351670080947347,0.13077406315535,-0.2881449405599,0.197483286116759,FALSE
"ZNF564",0.318020338658822,0.130868305544388,0.288621937924427,0.133945657241957,FALSE
"MAP3K4",0.163380723670194,0.131003129738812,0.176490603782506,0.183014197317804,FALSE
